ID,account_type,gender,age,region_code,dc_cons_apr,dc_cons_may,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,cc_cons
12554,saving,F,36,336.0,10740.542452831263,26271.575951468018,12332.393444434541,4.0,6.0,12.0,1.0,1.0,3.0,248145.0,,,,,,,,,73179.47420820553,637691.3326861296,0.0,2.0,471134.27381269797,436171.3580537046,733348.558128036,2.0,1.0,110403.21436408225,1114847.373934011,686870.5978764377,2.0,1.0,161824.46758289155,,1946.0
17645,current,M,24,529.0,15400.274698228279,16346.513708366443,13308.843759617466,14.0,10.0,31.0,7.0,5.0,11.0,24005.0,,,,,,,,,405375.5997014214,182564.0421064312,20.0,4.0,424970.39483749046,629510.4692400744,140978.44777444034,2.0,17.0,336653.54712375696,401066.63472527533,236839.5305167676,10.0,31.0,530033.8506353507,,66784.0
7604,current,M,34,541.0,,16616.791205582856,8165.0603300670755,19.0,8.0,23.0,,9.0,8.0,55953.0,,,,,,,,,422194.8339625385,435950.0058426567,28.0,3.0,120890.57058318805,616448.4080160862,370850.5360017426,4.0,22.0,359000.87985526095,894453.3668469839,1896231.0968964368,5.0,24.0,481495.6483861421,Y,14469.0
1590,current,M,39,523.0,15962.461006547683,17848.552395336752,28502.691521420347,,1.0,17.0,3.0,5.0,16.0,406984.0,,,,1.0,,,,,33573.88483251478,540109.5849428723,43.0,5.0,435724.51525943243,280011.2839767253,260148.09685822585,6.0,39.0,217724.53689224922,1772800.5861486888,1276361.796405709,7.0,37.0,536714.9409488068,,6494.0
16556,current,M,28,239.0,,35661.99552727252,13474.223362522984,23.0,14.0,32.0,,5.0,14.0,34545.0,,,,,,,,,161189.0836812858,306331.2655498825,5.0,5.0,279918.41412949807,206119.3719161202,395626.1250551524,4.0,15.0,519029.3068721052,852574.0059724974,611058.0362042608,3.0,26.0,349316.5889449851,,14588.0
19106,current,M,25,694.0,8105.754536973372,,,22.0,38.0,45.0,4.0,,,77860.0,,,,,,,,,195530.985574796,129745.83038374045,7.0,3.0,254246.2341605468,794784.085312236,334022.04832993285,3.0,7.0,89838.9639359338,1362427.959909989,1854398.2995265936,4.0,9.0,298456.5103825837,,13470.0
10086,saving,M,39,275.0,,4501.6866982560505,7955.967123685272,6.0,8.0,25.0,,1.0,1.0,184572.0,,,,,,,,,245849.9251103639,416937.17479074287,9.0,2.0,424620.6620959836,878626.4489960752,894922.8136730066,2.0,12.0,496770.51651943615,356506.2116055581,716919.4633743996,4.0,9.0,218319.4964556108,,4962.0
3045,saving,M,35,267.0,,,,56.0,65.0,84.0,,,,35769.0,,,,,,,,,327202.6812632093,56018.928805990734,15.0,2.0,413987.21121319046,556187.0281099785,326135.76577058434,5.0,8.0,482161.32818549953,1163090.4827404087,1154114.8452154682,2.0,5.0,251899.68987240226,,12695.0
17368,saving,M,34,306.0,,,,5.0,4.0,3.0,,,,20831.0,,,,,383553.6362258455,,,,484539.5447069411,155763.89873017394,30.0,2.0,316797.05490639084,197213.40544752,254647.1101788981,3.0,20.0,278155.7011627274,97996.74819527363,1200548.8837997322,5.0,12.0,7327.204564741181,,49129.0
9756,current,M,35,523.0,,4379.357763598069,7696.580215280577,,6.0,29.0,,1.0,2.0,121436.0,,,,,,,,,424895.5673040736,406717.4380266528,29.0,6.0,173755.6763491331,494998.67054935533,245840.6890193441,7.0,15.0,488987.2332229436,965258.566087675,700097.4569033139,2.0,12.0,403891.4945543006,,5772.0
14772,current,M,46,242.0,8416.311094934745,25468.318630672842,5123.381922818388,9.0,16.0,31.0,3.0,9.0,10.0,246199.0,,,,,,,,,545682.886606405,194742.1728637963,32.0,3.0,183399.6411186093,1011279.7221501364,297321.78994138056,2.0,34.0,411221.7294797293,1878093.7706313003,1131725.7618783752,5.0,26.0,631207.2154188135,,28438.0
16901,saving,M,37,716.0,7563.974436900539,12292.753577911935,14063.184766032957,8.0,6.0,32.0,13.0,8.0,19.0,299441.0,,,,1.0,,521878.4039769826,,,348581.570181823,486899.5602506365,22.0,6.0,552336.122245115,779040.2132349683,974713.8540085804,13.0,30.0,449392.2468399011,660163.9788239411,1439317.3138011615,10.0,26.0,25589.671064009657,,18269.0
9853,current,M,37,211.0,,,,1.0,3.0,16.0,,,,98961.0,,,,,,242573.77096287755,,,274060.9329104125,107872.3435404308,11.0,1.0,238145.22950614273,163912.59072862135,,0.0,1.0,,1447028.400398964,1092898.9926795913,6.0,5.0,99855.66697337908,,6961.0
678,current,M,28,332.0,10925.878961570621,39728.42015032784,,5.0,2.0,9.0,6.0,5.0,14.0,49575.0,,,,,,,,,601447.5452392716,383585.4821927375,11.0,2.0,486958.35031777143,47040.4734032698,698017.9133382175,2.0,28.0,73162.41673706968,1174067.6859688936,940917.1503181544,4.0,17.0,157795.3930116786,,10142.0
11040,saving,M,37,747.0,,,,6.0,5.0,7.0,,,,66368.0,,,,,,,,,633334.7622946389,441395.561561772,10.0,2.0,15394.885025849426,983405.3221526043,873811.3788278124,14.0,6.0,127855.55315541195,1095694.7539899666,68267.66366247495,14.0,7.0,202055.5725432108,,19505.0
6147,current,M,37,656.0,,,,2.0,3.0,23.0,,,,231398.0,,,,,,,,,210395.632691852,46154.07567979624,9.0,3.0,388693.8512425793,588829.8690750833,656376.0390234946,3.0,5.0,98612.41296911996,1838326.146276557,1951374.9015193225,3.0,1.0,389353.35260928643,,12325.0
1585,current,M,36,545.0,,,,9.0,12.0,28.0,,,,241080.0,,,,,,314906.11428466125,,,131417.25328668047,283310.05604165554,18.0,2.0,524898.2341509382,959099.5200690342,54386.84213564417,3.0,6.0,404804.4457671069,1619110.1395348688,1422523.77234773,5.0,24.0,324581.6709072807,,7085.0
19346,current,M,40,282.0,,33620.90230413873,14323.474728359162,4.0,2.0,,,1.0,21.0,130757.0,,,,,,,,,315331.1839717545,281725.2320975018,17.0,2.0,85338.11241886437,12136.46932538184,887639.3899583281,3.0,9.0,368261.35514984094,969250.63265593,1141000.7197718106,4.0,42.0,185904.179696912,,2957.0
7262,current,F,33,727.0,10433.081885620833,27857.502886680617,9399.339590591999,3.0,12.0,22.0,14.0,11.0,15.0,70881.0,,,,,,,,,28489.27868791201,468275.752170135,36.0,1.0,249056.3179150879,121186.25303674373,377085.0175011133,11.0,46.0,377215.28584110213,665672.4430750047,379698.0645610316,6.0,58.0,63970.52795461571,,18985.0
1202,current,M,45,636.0,,,,3.0,2.0,13.0,,,,129913.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,13572.0
7791,current,M,32,707.0,3572.742907906961,31516.11987412777,10941.452575050156,6.0,4.0,,1.0,3.0,1.0,100243.0,,,,,,,,,224430.8128703865,563850.681709229,12.0,5.0,43486.62037338917,556853.5551826847,55153.13150167489,1.0,11.0,5783.812609054348,1337213.8099518914,236966.78183392523,5.0,5.0,85225.42997218651,,2814.0
5438,current,M,26,433.0,5113.615093792132,6964.267625591991,2422.0954395039885,6.0,1.0,6.0,1.0,8.0,25.0,75083.0,,,,,,,,,636914.4649377125,199060.67774883533,26.0,1.0,253012.7876874376,1084544.6578572583,1027169.9977206392,3.0,16.0,126253.90314238064,1226431.6817833248,1790923.8596068562,2.0,38.0,41409.35016187775,,11883.0
18797,current,M,24,250.0,,28504.16010376293,12780.029628915909,6.0,3.0,20.0,,9.0,12.0,49545.0,,,,,,,,,8348.71514291448,403568.58542215696,13.0,1.0,426560.0247994786,640780.6536412911,,0.0,11.0,,80303.92750591776,1475998.6263595768,11.0,35.0,51279.99920281002,,19999.0
8661,current,F,30,217.0,3021.204648283357,38797.80432552326,185.27976059983143,1.0,3.0,,5.0,10.0,6.0,65147.0,,,,,,,,,444500.42256582406,238105.5867264173,17.0,3.0,357083.3478630028,187805.0061983761,432377.14170890383,3.0,22.0,611313.1685227734,1610427.2168430863,523724.1387395393,3.0,31.0,276266.92845655186,,9976.0
17362,current,M,24,701.0,,4988.2960691453245,,3.0,1.0,5.0,,6.0,2.0,11470.0,,,,,,,,,534409.5931401412,71051.80115043784,21.0,4.0,265375.95404976985,640044.1699770802,413461.2746486857,3.0,10.0,501315.5358978642,1907694.977298744,632287.0903228094,6.0,17.0,594600.7156209424,,77037.0
10693,saving,F,34,330.0,15836.810124264463,,,2.0,5.0,23.0,1.0,,,26565.0,,,,,3968611.8263141885,,,,82123.90809420298,218938.7728909191,6.0,4.0,346384.8678440885,126998.24186461212,647407.9374929748,2.0,4.0,61282.71591608782,1893314.519321367,390424.23205600795,7.0,7.0,153955.13778207562,,15883.0
3905,current,M,32,513.0,17598.32008585674,28021.80757378172,9242.472067911618,1.0,1.0,10.0,4.0,2.0,9.0,100217.0,,,,,,,,,316924.5800202639,606356.3447189918,10.0,1.0,414436.63801689615,915036.5534883316,354398.6750167272,5.0,9.0,154250.76008091314,1713255.3989473314,1106488.3144890114,3.0,16.0,582945.8716073205,,9458.0
3334,current,M,31,227.0,,,,11.0,5.0,9.0,,,,101975.0,1.0,,,,,,,,288380.8156623126,572705.4579157996,12.0,4.0,182850.22161309145,319438.5059130958,1027623.6682075115,1.0,12.0,201849.90059272,618792.2014882393,683138.0713313995,8.0,2.0,365239.0846521308,,14993.0
17536,current,M,31,536.0,,,,17.0,26.0,6.0,,,,77551.0,,,1.0,,,,,,255424.17986329817,575259.6792947375,15.0,3.0,166534.7754664474,983592.3494498438,861421.7507073672,2.0,7.0,595990.4094064579,1496598.4745079454,1454492.10653047,3.0,3.0,556702.8806180388,,14554.0
7552,current,M,34,248.0,,,,13.0,8.0,27.0,,,,117354.0,,,,,,,,,,,,,,,,,,,,,,,,,18015.0
18876,current,M,41,513.0,,,,15.0,6.0,9.0,,,,641503.0,,,,,,,,,625509.926520209,,2.0,,,,,,,,1537563.1492831004,639719.7763139982,2.0,,336688.20116966014,,7711.0
8129,saving,M,46,764.0,,,,6.0,8.0,25.0,,,,267984.0,,,,,,,,,528302.8063192834,105946.36576140604,5.0,1.0,284680.1368744259,687360.6868560484,430648.7779960397,2.0,1.0,446742.993566786,611443.1476046625,1881663.51869728,2.0,6.0,265049.3912014586,,12235.0
6042,current,M,34,492.0,22034.94564711533,1222.447041296744,14481.308558593997,3.0,2.0,9.0,16.0,14.0,25.0,98166.0,,,,,,,,,271896.38810763165,369645.95031751593,25.0,2.0,354646.8895192538,108482.69222893576,468183.83123374573,4.0,31.0,574314.1888129575,225931.33841636695,1008277.7908332598,14.0,32.0,47234.83998737743,,5498.0
